,none,diverse_numerical,diverse_review,coverage_review,sim,summary_sim,sentiment_sim,tag_sim,topic_sim,attribute_sim
0,470,547,747,313,462,302,528,205,391,189
1,8,12,15,0,4,2,11,2,10,6
2,19,19,11,25,36,6,8,9,6,9
3,23,31,65,15,31,11,35,15,29,13
4,100,148,160,92,89,94,144,41,84,48
5,929,1123,1739,466,844,498,1221,429,849,416
6,168,259,398,141,254,129,210,91,192,90
7,192,208,323,98,154,119,258,64,145,81
8,163,300,309,121,186,153,274,106,102,72
9,92,79,205,40,84,32,116,45,104,35
10,462,486,751,198,325,176,559,190,435,212
11,566,766,1136,411,650,405,809,275,473,267
12,342,329,473,89,202,115,336,119,307,154
13,54,71,170,37,52,34,86,40,103,17
14,17,27,33,16,22,7,28,19,12,5
15,89,130,155,43,72,40,153,38,71,43
16,2,4,3,2,0,2,4,1,4,0
17,41,52,94,28,52,17,40,16,33,57
18,32,27,59,6,21,14,36,10,37,6
19,131,233,189,79,129,82,190,70,96,65
20,357,514,678,242,395,193,561,181,304,157
21,953,1207,1726,518,876,529,1260,435,885,419
22,604,681,920,271,502,244,734,266,512,218
23,680,813,1172,342,561,336,930,274,606,300
24,122,133,192,66,97,60,159,60,77,60
25,306,314,388,115,174,160,308,109,253,119
26,1079,1333,1990,598,1004,611,1419,496,978,492
27,1079,1333,1990,598,1004,611,1419,496,978,492
28,1079,1333,1990,598,1004,611,1419,496,978,492
29,1079,1333,1990,598,1004,611,1419,496,978,492
30,1079,1333,1990,598,1004,611,1419,496,978,492
31,1079,1333,1990,598,1004,611,1419,496,978,492
32,1079,1333,1990,598,1004,611,1419,496,978,492
33,1079,1333,1990,598,1004,611,1419,496,978,492
34,1079,1333,1990,598,1004,611,1419,496,978,492
35,1079,1333,1990,598,1004,611,1419,496,978,492
36,419,558,710,300,398,297,526,212,355,199
37,7,11,14,1,1,2,19,5,5,1
38,13,19,6,35,10,34,8,6,6,9
39,54,41,38,7,10,16,29,13,59,13
40,68,125,224,37,94,51,86,57,127,39
41,937,1137,1708,518,889,508,1277,415,781,430
42,227,237,361,128,171,147,193,110,251,81
43,145,244,354,97,173,123,214,85,117,128
44,256,192,354,89,156,104,190,96,274,71
45,85,162,125,59,119,37,124,43,53,55
46,362,494,794,225,384,199,693,162,282,155
47,669,762,1089,355,532,423,694,291,618,317
48,232,348,609,97,234,103,499,124,221,105
49,56,79,98,71,98,32,62,39,47,26
50,27,61,33,10,15,8,65,12,22,9
51,84,76,146,59,120,41,88,26,60,30
52,2,6,5,1,0,2,8,1,3,0
53,35,44,94,37,21,46,89,13,26,15
54,15,18,39,10,13,9,29,5,20,6
55,124,155,219,91,130,67,180,57,111,44
56,351,475,628,277,437,208,474,160,309,143
57,955,1187,1815,486,857,523,1308,439,894,422
58,520,675,971,294,505,262,805,241,427,220
59,719,842,1154,364,570,371,966,260,595,317
60,114,130,199,69,119,67,144,57,65,60
61,247,253,453,113,197,130,387,105,181,66
62,1079,1333,1990,598,1004,611,1419,496,978,492
63,1079,1333,1990,598,1004,611,1419,496,978,492
64,1079,1333,1990,598,1004,611,1419,496,978,492
65,1079,1333,1990,598,1004,611,1419,496,978,492
66,1079,1333,1990,598,1004,611,1419,496,978,492
67,1079,1333,1990,598,1004,611,1419,496,978,492
68,1079,1333,1990,598,1004,611,1419,496,978,492
69,1079,1333,1990,598,1004,611,1419,496,978,492
70,1079,1333,1990,598,1004,611,1419,496,978,492
71,1079,1333,1990,598,1004,611,1419,496,978,492
72,539,679,996,349,522,309,780,254,473,225
