steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
10000	25	926.6277697086334	26.35	27.0	15.051752826760568	76.0	0.0	2.92875	0.06473929267376662	10000	9951	10000
20000	50	1816.5990600585938	42.4	35.0	25.01452209796289	107.0	0.0	3.2888205	0.06924486767500639	20000	19951	20000
30000	75	2728.1240537166595	51.6	50.0	13.899640283115243	70.0	38.0	3.2844336	0.07201671997085214	30000	29951	30000
40000	100	3649.5139586925507	42.2	44.0	22.16113240503933	80.0	0.0	3.3312201	0.06283960565924644	40000	39951	40000
50000	125	4540.9586980342865	55.55	39.0	36.297709076614275	117.0	0.0	3.2128568	0.06277662726119161	50000	49951	50000
60000	150	5413.396323919296	105.9	132.0	38.510285707368595	137.0	0.0	3.2718506	0.060545138567686084	60000	59951	60000
70000	175	6290.8171854019165	72.8	71.0	22.38561568225641	101.0	38.0	3.8345017	0.066270717587322	70000	69951	70000
80000	200	7163.277831554413	41.6	37.0	18.768394485915607	120.0	30.0	3.5604053	0.05819001702591777	80000	79951	80000
90000	225	8054.563147544861	43.1	39.5	17.510598294506643	110.0	27.0	3.7964005	0.0622927107103169	90000	89951	90000
100000	250	8973.240567445755	95.55	118.0	47.22229067762496	144.0	0.0	3.5376728	0.058663031235337254	100000	99951	100000
110000	275	9900.276095151901	86.0	90.0	47.387540001232615	133.0	22.0	3.7972245	0.06023557206615806	110000	109951	100000
120000	300	10782.575551748276	87.15	47.0	66.03689160334228	166.0	0.0	3.7498536	0.06296283876523376	120000	119951	100000
130000	325	11658.31615972519	49.2	42.0	28.790714877506858	153.0	1.0	3.6129482	0.058938489090651275	130000	129951	100000
140000	350	12535.508147001266	106.25	116.0	24.994473073272147	118.0	45.0	3.847453	0.059367237892001865	140000	139951	100000
150000	375	13452.222314119339	64.1	37.0	44.72712587986941	149.0	35.0	3.887626	0.05875650299713016	150000	149951	100000
160000	400	14344.256160736084	70.3	81.0	22.909662406481406	96.0	41.0	4.1149406	0.05688494266010821	160000	159951	100000
170000	425	15214.509801626205	60.25	42.0	25.873935269220055	102.0	40.0	3.945469	0.061646988578140736	170000	169951	100000
180000	450	16088.431161165237	61.6	61.0	6.426917080365572	86.0	56.0	4.1454883	0.05788613442331553	180000	179951	100000
190000	475	16961.689785718918	87.1	66.0	42.99559340945975	145.0	38.0	3.826629	0.05461762059479952	190000	189951	100000
200000	500	17842.058251142502	55.35	61.5	16.499681017650328	67.0	1.0	4.2987537	0.05874276163056493	200000	199951	100000
210000	525	18711.97433567047	68.55	66.0	12.914598023371195	88.0	44.0	4.408419	0.05583753591403365	210000	209951	100000
220000	550	19581.83467411995	52.15	47.5	19.440259365824478	79.0	0.0	4.2046375	0.055604427866637704	220000	219951	100000
230000	575	20449.801357269287	69.35	66.0	34.521198674071805	109.0	0.0	4.2190676	0.054970347005873915	230000	229951	100000
240000	600	21325.176474809647	85.25	88.5	17.21344333882525	104.0	65.0	4.0523906	0.0567442168854177	240000	239951	100000
250000	625	22200.89054298401	60.75	71.0	18.26954612981597	81.0	33.0	4.2832093	0.05441575334407389	250000	249951	100000
260000	650	23074.624760627747	93.2	70.5	44.37353407511948	146.0	0.0	4.2138486	0.05493785619735718	260000	259951	100000
270000	675	23955.48996090889	74.95	64.0	27.639550228650705	129.0	37.0	4.321659	0.05589148659259081	270000	269951	100000
280000	700	24842.392066001892	76.65	75.0	28.678389076097005	117.0	34.0	4.093197	0.056779571995139125	280000	279951	100000
290000	725	25730.398881673813	71.8	77.0	24.84817053521986	90.0	0.0	4.63074	0.05686080012470484	290000	289951	100000
300000	750	26631.42380642891	94.75	95.0	10.218018141344343	110.0	76.0	4.27699	0.05467118144035339	300000	299951	100000
310000	775	27523.05131173134	78.85	76.0	29.175106548310378	146.0	0.0	4.5005956	0.05483091240748763	310000	309951	100000
320000	800	28414.22541284561	100.85	100.0	16.778040159057536	112.0	35.0	4.7163196	0.05085650445893407	320000	319951	100000
330000	825	29302.062872886658	93.3	82.0	23.235861575545133	134.0	75.0	4.461549	0.05454645218327642	330000	329951	100000
340000	850	30199.32940506935	74.15	77.0	32.45770527284619	123.0	1.0	4.57096	0.05385490557178855	340000	339951	100000
