steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
5000	25	1474.8965287208557	28.6	35.0	13.464768843169942	39.0	7.0	6.1847563	0.08664291441440582	5000	4951	5000
10000	50	3302.051814556122	16.2	10.0	12.794530081249565	37.0	7.0	6.3553185	0.08543535504490136	10000	9951	10000
15000	75	4939.309093952179	18.8	9.0	16.783920876839236	38.0	3.0	6.3311195	0.0795875208824873	15000	14951	15000
20000	100	6997.060074806213	16.6	13.0	9.44986772394196	33.0	10.0	6.4253983	0.08802501678466797	20000	19951	20000
25000	125	8639.543570518494	41.0	33.0	27.847800631288642	83.0	17.0	6.61499	0.0906716151535511	25000	24951	25000
30000	150	10437.172295570374	41.8	42.0	7.563068160475615	52.0	34.0	6.523276	0.09204157039523125	30000	29951	30000
35000	175	12380.191107034683	57.0	54.0	24.259018941416407	93.0	27.0	6.6056514	0.0891626400873065	35000	34951	35000
40000	200	14210.08291721344	31.4	42.0	17.487138130637614	46.0	5.0	6.9969444	0.09317265018820763	40000	39951	40000
45000	225	16083.28332567215	42.4	42.0	19.65451602049768	63.0	12.0	6.403669	0.09036084286868572	45000	44951	45000
50000	250	18264.168575525284	56.2	62.0	14.737706741552431	70.0	38.0	6.7052617	0.0886031525209546	50000	49951	50000
55000	275	20119.434248209	24.8	26.0	17.82414093301554	42.0	0.0	6.53501	0.0886087841540575	55000	54951	55000
60000	300	21877.26008081436	17.8	24.0	13.236313686219438	30.0	3.0	6.6663656	0.09129751101136208	60000	59951	60000
65000	325	24108.547830343246	49.0	45.0	13.619838471876236	69.0	35.0	6.059875	0.09680928595364094	65000	64951	65000
70000	350	26184.339101076126	49.6	49.0	9.964938534682489	64.0	39.0	6.5996914	0.08857907000929117	70000	69951	70000
75000	375	28256.07436823845	56.4	52.0	10.430723848324238	72.0	48.0	6.92879	0.08589464034885168	75000	74951	75000
80000	400	30321.24693465233	71.8	73.0	19.123284236762263	99.0	48.0	6.562366	0.08779253855347634	80000	79951	80000
85000	425	32675.517548561096	72.0	80.0	16.15549442140351	89.0	51.0	6.973203	0.08530728816986084	85000	84951	85000
90000	450	34859.30615091324	78.0	74.0	10.793516572461451	94.0	66.0	6.5641046	0.08642886761575937	90000	89951	90000
95000	475	36878.70065283775	78.6	81.0	13.794926603646719	98.0	61.0	6.4037137	0.08134902074933052	95000	94951	95000
100000	500	39079.940311193466	71.2	70.0	27.941009287425537	108.0	41.0	7.070658	0.08418704006820917	100000	99951	100000
105000	525	41039.02123045921	93.8	98.0	33.40957946457872	142.0	57.0	6.936094	0.08974950697273015	105000	104951	100000
110000	550	43124.45520782471	88.0	83.0	22.15851980616034	111.0	56.0	6.751036	0.08565889324992895	110000	109951	100000
115000	575	45206.276589393616	71.0	79.0	21.330729007701542	92.0	36.0	6.6239443	0.08381478812545538	115000	114951	100000
120000	600	47145.70964431763	79.0	75.0	31.40859754907882	114.0	35.0	6.626097	0.0887378016486764	120000	119951	100000
125000	625	49030.19694566727	94.2	101.0	26.166772823563857	130.0	66.0	6.788712	0.08646016154438257	125000	124951	100000
130000	650	51006.84460091591	113.8	113.0	8.814760348415605	128.0	106.0	6.9571867	0.08898912478238344	130000	129951	100000
135000	675	52996.429708004	105.4	103.0	12.581732790041283	125.0	91.0	6.899787	0.08025745078921317	135000	134951	100000
140000	700	54879.394402742386	118.6	114.0	21.04281350010022	142.0	96.0	7.108626	0.0857785715535283	140000	139951	100000
145000	725	56913.63545393944	93.4	91.0	36.922892627745185	144.0	45.0	6.7892156	0.08747545886784792	145000	144951	100000
150000	750	58820.24464225769	98.4	98.0	28.64087987475245	136.0	59.0	7.2041955	0.08308868523687124	150000	149951	100000
155000	775	60709.24023127556	106.8	102.0	13.367871932360814	129.0	96.0	6.8853927	0.08492610987275839	155000	154951	100000
160000	800	62603.961585998535	100.2	104.0	36.874110158755016	142.0	43.0	6.9852014	0.07796342324465513	160000	159951	100000
165000	825	64543.786895513535	114.4	119.0	20.94755355644186	141.0	83.0	7.3456383	0.08620174154639244	165000	164951	100000
170000	850	66294.1180870533	103.4	100.0	16.65232716469383	131.0	90.0	6.996009	0.08179054275155068	170000	169951	100000
