id,item_id,normalized,skewed_up,skewed_down,polarized
127291,127286,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],9.0,0.0,4.5
128540,128525,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],9.0,0.0,4.5
134935,134930,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],9.0,0.0,4.5
127798,127790,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],9.0,0.0,4.5
137557,137555,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],9.0,0.0,4.5
128536,128525,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],9.0,0.0,4.5
141401,141398,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],9.0,0.0,4.5
139310,139298,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],8.000001,0.999999,4.5
130243,130226,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],8.000001,0.999999,4.5
138280,138269,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],8.000001,0.999999,4.5
139145,139130,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],8.000001,0.999999,4.5
134937,134930,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],8.000001,0.999999,4.5
128774,128756,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],8.000001,0.999999,4.5
137373,137366,[0.5 0.  0.5 0.  0.  0.  0.  0.  0.  0. ],8.000001,0.999999,3.500001
130768,130751,[0.5 0.  0.5 0.  0.  0.  0.  0.  0.  0. ],8.000001,0.999999,3.500001
133848,133838,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],8.000001,0.999999,4.5
131550,131549,[0.5 0.  0.5 0.  0.  0.  0.  0.  0.  0. ],8.000001,0.999999,3.500001
141774,141755,[0.  0.5 0.5 0.  0.  0.  0.  0.  0.  0. ],7.5000015,1.4999985,4.0000005
133847,133838,[0.5 0.  0.  0.5 0.  0.  0.  0.  0.  0. ],7.5000015,1.4999985,3.0000015
144013,144002,[0.5  0.25 0.   0.   0.   0.25 0.   0.   0.   0.  ],7.49999925,1.50000075,2.99999925
136742,136736,[0.2 0.4 0.2 0.  0.2 0.  0.  0.  0.  0. ],7.4000016,1.5999984,3.500001
140216,140201,"[0.66666667 0.         0.         0.         0.         0.33333333
 0.         0.         0.         0.        ]",7.3333336666680005,1.666666333332,2.833333666668
144283,144275,"[0.33333333 0.33333333 0.         0.         0.33333333 0.
 0.         0.         0.         0.        ]",7.333327666664999,1.6666633333349998,3.166661333331
131376,131360,[0.25 0.25 0.25 0.   0.25 0.   0.   0.   0.   0.  ],7.25000175,1.74999825,3.25000125
127446,127433,"[0.28571429 0.21428571 0.07142857 0.28571429 0.07142857 0.07142857
 0.         0.         0.         0.        ]",7.142854214286,1.8571407857100009,3.071427785712001
128571,128567,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
143799,143792,[0.  0.5 0.  0.5 0.  0.  0.  0.  0.  0. ],7.000002,1.999998,3.500001
137962,137954,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
130602,130583,[0.5 0.  0.  0.  0.5 0.  0.  0.  0.  0. ],7.000002,1.999998,2.500002
143928,143918,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
145720,145703,[0.5 0.  0.  0.  0.5 0.  0.  0.  0.  0. ],7.000002,1.999998,2.500002
138284,138269,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
134487,134468,[0.5 0.  0.  0.  0.5 0.  0.  0.  0.  0. ],7.000002,1.999998,2.500002
134705,134699,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
142015,142007,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
129490,129470,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
125472,125459,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
125806,125795,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
125769,125753,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
141404,141398,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.000002,1.999998,4.5
