id,item_id,topics,strong_topic,all_topics
136016,136001,"[0.06863932 0.8372502  0.05639613 0.00222493 0.00222527 0.00222475
 0.02436531 0.00222494 0.0022245  0.00222471]",0.03254996617,0.14745003383
138894,138878,"[0.00200234 0.00200271 0.0323636  0.00200245 0.83716774 0.00200256
 0.002002   0.11645244 0.002002   0.00200214]",0.03256645136999999,0.15072403663
141627,141608,"[0.05873807 0.00128416 0.00128407 0.83704245 0.09523135 0.00128419
 0.00128382 0.00128414 0.00128382 0.00128398]",0.03259151599,0.14740848401
145440,145430,"[0.05053548 0.0966389  0.00227591 0.83689636 0.00227575 0.00227562
 0.00227541 0.00227554 0.00227533 0.00227572]",0.03262073082,0.14737926918
130687,130667,"[0.00371266 0.83679557 0.00371251 0.13350287 0.00371323 0.00371363
 0.00371207 0.00371264 0.00371207 0.00371275]",0.03264088628999999,0.15405968771
141005,140999,"[0.03377515 0.00085551 0.00085557 0.8361646  0.00085558 0.08606533
 0.00085538 0.03886206 0.00085531 0.00085549]",0.032767078045999994,0.147232921954
142152,142133,"[0.00250271 0.11044561 0.00250268 0.00250289 0.83603644 0.00250268
 0.0025024  0.00250245 0.0025024  0.03599969]",0.0327927071,0.14929641489999998
127137,127118,"[0.00189119 0.00189152 0.00189127 0.14888835 0.8359821  0.00189121
 0.00189115 0.001891   0.00189095 0.0018913 ]",0.03280358328,0.15697408672
128516,128504,"[0.00400245 0.00400263 0.1323037  0.00400226 0.8356783  0.0040025
 0.00400239 0.00400176 0.00400147 0.00400254]",0.032864339719999996,0.15359640028
138383,138374,"[0.8355837  0.00312708 0.10816272 0.0031269  0.00312679 0.00312665
 0.0343669  0.0031266  0.00312611 0.00312656]",0.03288326073999999,0.14874928325999998
137158,137156,"[0.00279233 0.8355509  0.00279117 0.00279211 0.14211807 0.00279143
 0.0027909  0.00279116 0.0027909  0.00279107]",0.03288982409999999,0.1555337899
125771,125753,"[0.0083465  0.00834658 0.00834374 0.8354811  0.00834569 0.00834573
 0.00834359 0.00834368 0.0083436  0.09775978]",0.03290378014999999,0.14709621985
133708,133691,"[0.00589001 0.8353775  0.00588725 0.11751907 0.00588832 0.00588935
 0.0058869  0.00588713 0.00588675 0.00588771]",0.03292449785,0.15057931535000002
131152,131150,"[0.00208448 0.8349337  0.00208422 0.00208462 0.00208439 0.00208416
 0.10536708 0.04510874 0.00208391 0.00208469]",0.033013258010000004,0.14806015799
129211,129197,"[0.00714889 0.00714957 0.00714755 0.00714828 0.8348057  0.10800981
 0.00714741 0.00714758 0.00714741 0.00714775]",0.03303885609,0.14856310691000002
130256,130247,"[0.12882821 0.00454776 0.00454668 0.00454842 0.8347956  0.00454674
 0.00454634 0.00454634 0.00454634 0.00454753]",0.033040875819999996,0.15272476617999997
139924,139907,"[0.00244073 0.0024407  0.00244007 0.09691799 0.83467513 0.00244093
 0.00243988 0.00244047 0.05132399 0.00244012]",0.03306497592999999,0.14693502406999998
139588,139571,"[0.00476382 0.8345734  0.00476335 0.1273172  0.00476457 0.00476385
 0.00476328 0.00476352 0.00476328 0.00476375]",0.03308532164999999,0.15237811835
134222,134216,"[0.00667431 0.8345174  0.00667384 0.00667497 0.00667432 0.00667891
 0.00667308 0.11208559 0.00667306 0.00667448]",0.033096516029999995,0.14932060197
134947,134930,"[0.00400268 0.00400325 0.09357728 0.00400362 0.8343582  0.00400353
 0.04404327 0.0040031  0.00400228 0.00400275]",0.033128357309999995,0.14687164269
140560,140558,"[0.00154183 0.00154186 0.00154143 0.83400774 0.00154182 0.15365954
 0.00154134 0.00154144 0.00154134 0.00154172]",0.03319845654999999,0.15753345145
141708,141692,"[0.00834404 0.00834354 0.00834357 0.00834412 0.8339783  0.00834401
 0.09926862 0.0083445  0.00834171 0.0083476 ]",0.03320434,0.14679566
131215,131213,"[0.00357342 0.8339473  0.00357281 0.00357361 0.0035738  0.00357305
 0.00357266 0.00357309 0.00357266 0.13746761]",0.033210541819999995,0.15428298017999997
135488,135476,"[0.001317   0.8338538  0.00131689 0.00131731 0.00131716 0.07911854
 0.0013168  0.0013169  0.00131676 0.07780883]",0.03322923908000001,0.14677076092
134115,134111,"[0.0014516  0.00145168 0.12275275 0.83378774 0.00145176 0.00145165
 0.00145124 0.00145161 0.00145124 0.03329877]",0.033242454959999994,0.15130809503999998
129333,129323,"[0.00243982 0.11037825 0.00244058 0.00244025 0.8337839  0.03875877
 0.00243949 0.00243979 0.00243949 0.00243968]",0.033243221319999995,0.14883242867999996
126538,126530,"[0.00204243 0.00204257 0.00204204 0.15009429 0.8335682  0.00204225
 0.00204193 0.00204219 0.00204193 0.00204211]",0.03328635394,0.15673250406
135793,135791,"[0.00149444 0.00149447 0.00149427 0.8332874  0.00149451 0.08995844
 0.01524139 0.05254668 0.00149403 0.00149431]",0.03334251627,0.14665748372999998
140073,140054,"[0.00588553 0.00588587 0.11970349 0.00588597 0.833213   0.00588539
 0.00588471 0.00588533 0.00588453 0.0058862 ]",0.03335740188,0.15058329612
143773,143771,"[0.00400222 0.0040028  0.00400155 0.8330528  0.13493212 0.00400205
 0.00400148 0.00400163 0.00400148 0.00400189]",0.03338944248999999,0.15359698151
145588,145577,"[0.02680846 0.8329466  0.06400759 0.00135298 0.00135299 0.0220287
 0.00135268 0.00135276 0.00135268 0.04744459]",0.03341068411,0.14658931589
126744,126740,"[0.00222433 0.00222446 0.00222468 0.00222523 0.8325157  0.1496847
 0.00222857 0.00222433 0.00222387 0.00222409]",0.03349685476,0.15644008524
142800,142784,"[0.0032286  0.14167194 0.00322828 0.00322845 0.8325004  0.00322839
 0.00322802 0.0032282  0.00322802 0.00322967]",0.03349991815999999,0.15483446984
138536,138521,"[0.00294261 0.07153984 0.00294246 0.00294277 0.8323172  0.07554593
 0.00294212 0.00294256 0.00294212 0.00294244]",0.033536565750000004,0.14646343424999997
142588,142574,"[0.11445862 0.00666984 0.00666876 0.00666971 0.8321898  0.00666907
 0.00666767 0.00666828 0.00666769 0.00667059]",0.03356204274999999,0.14932968124999996
127925,127916,"[0.00501292 0.83205503 0.00501237 0.12784334 0.00501314 0.00501331
 0.00501225 0.00501292 0.00501225 0.0050125 ]",0.03358899691999999,0.15197967108
132760,132746,"[0.83182436 0.11100437 0.00714566 0.00714733 0.00714649 0.0071469
 0.00714603 0.00714722 0.00714561 0.007146  ]",0.03363512521999999,0.14856574878
129012,129008,"[0.00159288 0.8318188  0.00159286 0.00159281 0.02550168 0.06761803
 0.00159254 0.0655049  0.00159251 0.00159295]",0.03363623466,0.14636376533999998
143950,143939,"[0.00120626 0.00120647 0.00120637 0.11459861 0.8317763  0.00120635
 0.00120612 0.04518103 0.00120611 0.00120632]",0.03364473343999999,0.14927498856
137161,137156,"[0.08466059 0.8317217  0.06932093 0.0020425  0.00204243 0.00204244
 0.00204224 0.00204265 0.00204199 0.00204247]",0.033655654539999996,0.14634434545999997
138070,138059,"[0.00435044 0.00435034 0.00435059 0.83168167 0.00434978 0.00434952
 0.0043493  0.00435004 0.0043493  0.13351907]",0.03366367019999999,0.15304014379999997
144857,144842,"[0.00256702 0.83152425 0.00256657 0.00256639 0.00256662 0.14794406
 0.00256609 0.00256648 0.00256609 0.00256644]",0.03369514948999999,0.15589366251
141656,141650,"[0.00244348 0.10016821 0.00244261 0.00244295 0.83134735 0.00244288
 0.00244249 0.05138451 0.00244249 0.00244301]",0.033730528829999995,0.14630311237
141080,141062,"[0.00244096 0.00244097 0.00244042 0.8313404  0.00244079 0.00244093
 0.00244033 0.0024406  0.00244033 0.14913428]",0.033731921379999995,0.15609493462
139637,139634,"[0.04876267 0.00094539 0.02432831 0.8312897  0.00094539 0.08994751
 0.00094515 0.00094528 0.00094515 0.00094549]",0.033742063308999995,0.14625793669099998
145222,145220,"[0.06136681 0.06294956 0.02189074 0.0011663  0.00116631 0.83114785
 0.00116606 0.01681414 0.00116604 0.00116617]",0.03377042731,0.14622957269
139404,139403,"[0.00417391 0.0041754  0.00417356 0.8310028  0.09515525 0.00417369
 0.04462388 0.00417366 0.0041735  0.00417438]",0.03379944340999999,0.14620055659
129648,129638,"[0.00285838 0.00285869 0.00285794 0.8309541  0.00285858 0.00285827
 0.00285784 0.00285796 0.00285784 0.14618042]",0.03380918262999999,0.15542690136999998
145150,145136,"[1.4977175e-01 8.3080610e-01 6.3758840e-04 6.3771615e-04 1.4959032e-02
 6.3763780e-04 6.3751830e-04 6.3758460e-04 6.3750276e-04 6.3764973e-04]",0.033838787973999994,0.156115562026
125796,125795,"[0.006672   0.00667334 0.00667233 0.00667284 0.83054835 0.11607558
 0.00667082 0.00667214 0.00667082 0.00667178]",0.03389032994999999,0.14932478505
127114,127097,"[0.00476746 0.83045596 0.00476758 0.0047689  0.00476812 0.00476905
 0.00476717 0.00476816 0.00476717 0.13140042]",0.03390880604999999,0.15237127795
141094,141083,"[0.00769935 0.00769839 0.00769668 0.00769826 0.8302693  0.00769927
 0.00770097 0.00769668 0.0076963  0.10814482]",0.033946142389999996,0.14768282161
135563,135560,"[0.0020847  0.00208457 0.00208436 0.15332392 0.8300006  0.00208465
 0.00208412 0.00208455 0.00208412 0.00208439]",0.033999878729999995,0.15666490527
127615,127601,"[0.00385009 0.00385033 0.00384951 0.13924944 0.82995313 0.00384987
 0.00384928 0.00384954 0.00384928 0.00384947]",0.03400936938999999,0.15384051861
128319,128315,"[0.00257094 0.8298132  0.00257041 0.0025706  0.00257095 0.07814491
 0.00257029 0.07404811 0.0025702  0.00257038]",0.03403735996,0.14596264003999998
140206,140201,"[0.00714589 0.11316106 0.00714568 0.00714651 0.82966167 0.00715088
 0.00714558 0.00714603 0.00714558 0.00715116]",0.03406766970999999,0.14856454229
138558,138542,"[0.00250398 0.15031932 0.00250331 0.00250361 0.8296515  0.0025037
 0.00250414 0.00250402 0.00250311 0.00250328]",0.03406969569,0.15599416830999996
138459,138458,"[0.00213081 0.8295928  0.02558641 0.00213114 0.12990524 0.00213089
 0.00213051 0.00213073 0.00213051 0.00213092]",0.034081436779999995,0.15189961121999998
137549,137534,"[0.00151608 0.02987155 0.00151612 0.82957363 0.12994267 0.00151617
 0.0015159  0.00151603 0.00151585 0.00151604]",0.03408527754,0.15190325645999997
127821,127811,"[0.06839201 0.00169678 0.00169634 0.03419142 0.829488   0.00169673
 0.00169658 0.00169643 0.00169622 0.05774949]",0.03410239969000001,0.14589760031
141357,141356,"[0.00158886 0.8294774  0.0015888  0.11854066 0.00158913 0.00158884
 0.00158889 0.00158883 0.00158861 0.04085998]",0.034104520189999994,0.14960361180999998
128107,128105,"[0.04218766 0.00156506 0.00156476 0.8293537  0.00156502 0.00156489
 0.03467626 0.08439299 0.00156462 0.00156502]",0.0341292579,0.1458707421
137131,137114,"[0.00232695 0.8293054  0.00232681 0.00232682 0.15208022 0.00232705
 0.00232662 0.00232701 0.00232646 0.00232663]",0.03413891559999999,0.15627712839999996
130633,130625,"[0.00232951 0.00232982 0.00232944 0.00233053 0.8291724  0.07168883
 0.00232921 0.08283143 0.00232921 0.0023297 ]",0.034165528619999996,0.14583447138
135708,135707,"[0.07687105 0.0029447  0.00294443 0.82914186 0.00294477 0.00294444
 0.00294392 0.0029449  0.00294392 0.07337598]",0.03417162611999999,0.14582837388
138480,138479,"[0.00714775 0.00714932 0.11379561 0.00714844 0.8290193  0.00714773
 0.00714893 0.00714825 0.00714699 0.00714766]",0.0341961378,0.14856298419999997
125757,125753,"[0.0055591  0.00556024 0.00555887 0.00555959 0.829009   0.00555887
 0.00555908 0.0055608  0.00555848 0.126516  ]",0.03419820357999999,0.15110499642
138093,138080,"[0.0052678  0.1292881  0.0052671  0.00526873 0.8285728  0.00526861
 0.00526682 0.00526669 0.00526652 0.00526685]",0.03428544199999999,0.15157217799999997
138897,138878,"[0.00244264 0.00244274 0.1519921  0.00244251 0.828469   0.00244236
 0.00244202 0.00244212 0.00244198 0.0024426 ]",0.03430620660999999,0.15609221339
134019,134006,"[0.00286045 0.82830554 0.00286027 0.00286019 0.00286045 0.10737127
 0.00285967 0.04430264 0.00285955 0.00285995]",0.03433888969,0.14713536431
128834,128819,"[0.14413835 0.00345173 0.00345086 0.00345131 0.8282534  0.00345135
 0.00345047 0.00345114 0.00345047 0.00345094]",0.03434932188999999,0.15447834811
140690,140684,"[5.9260003e-04 5.9261185e-04 5.9263940e-04 8.2797354e-01 8.0262760e-02
 1.9266358e-02 5.9246270e-04 6.8941990e-02 5.9245740e-04 5.9258010e-04]",0.034405291948,0.14559470805199998
132088,132074,"[0.00909704 0.009097   0.00909505 0.00909619 0.82758546 0.00909639
 0.09964676 0.00909507 0.00909504 0.00909601]",0.0344829089,0.14551709109999997
144629,144611,"[0.00909216 0.82733953 0.00909224 0.0090935  0.00909379 0.00909217
 0.00909211 0.00909242 0.09991705 0.00909506]",0.03453209794999999,0.14546790205
134864,134846,"[0.00212868 0.15571338 0.00212902 0.00212889 0.8272569  0.00212865
 0.00212847 0.00212851 0.00212835 0.00212909]",0.034548614559999996,0.15659406144
