id,item_id,topics,strong_topic,all_topics
128501,128483,"[0.00112426 0.00112445 0.00112447 0.00112436 0.98988104 0.0011244
 0.00112413 0.00112457 0.00112412 0.00112419]",0.002023791430000001,0.17797620857
145334,145325,"[0.00117693 0.00117706 0.00117697 0.00117699 0.98940796 0.00117689
 0.00117678 0.00117681 0.00117684 0.00117677]",0.0021184093900000023,0.17788159060999997
142600,142595,"[0.00151638 0.00151663 0.00151663 0.00151659 0.98635155 0.00151673
 0.00151623 0.00151668 0.00151621 0.00151643]",0.002729695740000003,0.17727030425999996
143563,143561,"[0.00158819 0.0015885  0.001588   0.00158835 0.98570687 0.00158818
 0.00158786 0.00158798 0.00158786 0.00158823]",0.0028586283899999987,0.17714137161
132202,132200,"[0.00166766 0.00166799 0.00166762 0.9849915  0.00166779 0.00166767
 0.00166732 0.0016674  0.00166732 0.00166777]",0.003001703869999998,0.17699829613
129821,129806,"[0.00169548 0.00169589 0.00169539 0.00169574 0.98473996 0.00169564
 0.00169535 0.00169543 0.00169534 0.00169572]",0.003052003080000003,0.17694799692
142881,142868,"[0.00175533 0.00175585 0.00175526 0.00175544 0.98420143 0.00175552
 0.00175508 0.00175536 0.00175508 0.00175567]",0.003159716539999995,0.17684028346
130861,130856,"[0.00178803 0.00178756 0.00178737 0.98391265 0.0017875  0.0017873
 0.00178707 0.00178775 0.00178734 0.00178742]",0.003217469009999994,0.17678253099
141985,141965,"[0.00181845 0.00181855 0.00181836 0.00181905 0.9836339  0.00181843
 0.00181831 0.00181833 0.00181831 0.00181837]",0.003273227050000005,0.17672677295
143352,143351,"[0.00188758 0.98301333 0.00188732 0.00188747 0.00188757 0.00188763
 0.00188725 0.00188729 0.00188725 0.00188729]",0.0033973304599999978,0.17660266953999998
131962,131948,"[0.00192376 0.9826862  0.00192365 0.00192391 0.00192392 0.00192395
 0.00192362 0.0019236  0.00192351 0.00192385]",0.0034627564600000042,0.17653724353999997
134847,134846,"[0.00192432 0.00192449 0.001924   0.00192415 0.98268276 0.00192406
 0.00192383 0.0019241  0.00192383 0.00192448]",0.003463449070000001,0.17653655092999998
134359,134342,"[0.00196257 0.00196302 0.00196257 0.00196285 0.9823363  0.00196291
 0.00196242 0.00196253 0.00196236 0.00196249]",0.0035327423099999946,0.17646725769
128276,128273,"[0.00200137 0.00200142 0.00200125 0.9819898  0.00200119 0.00200103
 0.00200084 0.00200102 0.00200084 0.00200127]",0.003602043249999997,0.17639795675
140377,140369,"[0.00200165 0.00200224 0.00200188 0.00200186 0.9819849  0.00200179
 0.00200116 0.0020019  0.00200115 0.00200148]",0.003603020689999995,0.17639697931
145464,145451,"[0.00204164 0.00204203 0.00204157 0.00204219 0.98162484 0.00204176
 0.00204158 0.00204154 0.00204137 0.00204149]",0.0036750327499999944,0.17632496725000002
135475,135455,"[0.00204189 0.00204229 0.00204258 0.00204216 0.9816222  0.00204201
 0.00204156 0.00204196 0.00204156 0.00204175]",0.0036755557499999997,0.17632444425
137278,137261,"[0.00208387 0.00208423 0.00208375 0.00208442 0.9812449  0.00208382
 0.00208363 0.00208387 0.00208363 0.00208389]",0.0037510209000000024,0.17624897909999998
131193,131192,"[0.00208558 0.0020857  0.00208524 0.9812314  0.00208585 0.00208565
 0.00208508 0.0020852  0.00208503 0.00208524]",0.0037537175100000016,0.17624628248999996
142923,142910,"[0.0021291  0.98083967 0.00212851 0.00212898 0.00212918 0.00212873
 0.00212867 0.00212953 0.00212839 0.00212924]",0.003832065419999995,0.17616793458000002
129364,129344,"[0.00217511 0.00217517 0.00217588 0.00217537 0.98042405 0.00217487
 0.0021749  0.0021749  0.0021746  0.00217516]",0.003915191890000001,0.17608480811
133579,133565,"[0.00175526 0.00589813 0.00175568 0.00175561 0.98005867 0.00175563
 0.00175505 0.00175553 0.00175504 0.00175541]",0.0039882676699999975,0.17601173233
129857,129848,"[0.00227384 0.97953564 0.00227372 0.00227401 0.00227394 0.00227393
 0.00227355 0.00227364 0.0022735  0.00227425]",0.004092873169999995,0.17590712682999998
141809,141797,"[0.00227534 0.00227524 0.00227507 0.9795248  0.00227551 0.0022751
 0.00227462 0.00227467 0.00227451 0.00227511]",0.0040950364100000025,0.17590496359000002
