episode,time_step,targets_found
1,1,6
1,2,7
1,3,7
1,4,7
1,5,7
1,6,7
1,7,7
1,8,7
1,9,7
1,10,9
1,11,15
1,12,18
1,13,18
1,14,18
1,15,18
1,16,18
1,17,18
1,18,20
1,19,20
1,20,20
1,21,20
1,22,20
1,23,20
1,24,20
1,25,21
1,26,21
1,27,21
1,28,21
1,29,21
1,30,21
1,31,21
1,32,21
1,33,21
1,34,21
1,35,22
1,36,22
1,37,22
1,38,22
1,39,22
1,40,22
1,41,22
1,42,22
1,43,22
1,44,22
1,45,22
1,46,22
1,47,22
1,48,22
1,49,22
1,50,22
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,1
2,20,1
2,21,1
2,22,2
2,23,2
2,24,2
2,25,2
2,26,2
2,27,2
2,28,2
2,29,2
2,30,2
2,31,3
2,32,3
2,33,3
2,34,3
2,35,4
2,36,9
2,37,9
2,38,14
2,39,15
2,40,15
2,41,15
2,42,15
2,43,15
2,44,15
2,45,15
2,46,15
2,47,15
2,48,15
2,49,17
2,50,17
3,1,0
3,2,0
3,3,0
3,4,1
3,5,1
3,6,1
3,7,1
3,8,2
3,9,8
3,10,17
3,11,22
3,12,27
3,13,29
3,14,29
3,15,29
3,16,32
3,17,32
3,18,33
3,19,37
3,20,39
3,21,41
3,22,42
3,23,44
3,24,44
3,25,44
3,26,45
3,27,47
3,28,47
3,29,47
3,30,47
3,31,47
3,32,47
3,33,47
3,34,47
3,35,47
3,36,47
3,37,47
3,38,47
3,39,47
3,40,47
3,41,47
3,42,47
3,43,47
3,44,47
3,45,47
3,46,47
3,47,47
3,48,47
3,49,47
3,50,47
4,1,0
4,2,1
4,3,1
4,4,1
4,5,1
4,6,2
4,7,2
4,8,3
4,9,4
4,10,4
4,11,4
4,12,12
4,13,12
4,14,12
4,15,12
4,16,12
4,17,13
4,18,13
4,19,13
4,20,13
4,21,19
4,22,19
4,23,19
4,24,19
4,25,19
4,26,19
4,27,19
4,28,19
4,29,25
4,30,34
4,31,39
4,32,45
4,33,48
4,34,49
4,35,49
4,36,52
4,37,54
4,38,54
4,39,54
4,40,55
4,41,56
4,42,57
4,43,57
4,44,57
4,45,57
4,46,57
4,47,57
4,48,57
4,49,57
4,50,57
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,2
5,13,2
5,14,2
5,15,2
5,16,2
5,17,2
5,18,2
5,19,2
5,20,2
5,21,4
5,22,4
5,23,4
5,24,4
5,25,4
5,26,4
5,27,5
5,28,11
5,29,11
5,30,11
5,31,11
5,32,11
5,33,11
5,34,11
5,35,11
5,36,11
5,37,11
5,38,11
5,39,11
5,40,11
5,41,11
5,42,11
5,43,11
5,44,11
5,45,11
5,46,16
5,47,16
5,48,16
5,49,16
5,50,17
6,1,1
6,2,1
6,3,1
6,4,1
6,5,2
6,6,2
6,7,2
6,8,2
6,9,3
6,10,3
6,11,3
6,12,3
6,13,3
6,14,3
6,15,3
6,16,3
6,17,3
6,18,3
6,19,3
6,20,3
6,21,3
6,22,3
6,23,3
6,24,4
6,25,4
6,26,4
6,27,4
6,28,4
6,29,4
6,30,4
6,31,4
6,32,4
6,33,5
6,34,5
6,35,5
6,36,5
6,37,5
6,38,5
6,39,5
6,40,5
6,41,5
6,42,5
6,43,5
6,44,5
6,45,5
6,46,5
6,47,5
6,48,5
6,49,5
6,50,5
7,1,0
7,2,0
7,3,0
7,4,1
7,5,2
7,6,3
7,7,5
7,8,5
7,9,5
7,10,5
7,11,5
7,12,5
7,13,5
7,14,5
7,15,5
7,16,6
7,17,6
7,18,6
7,19,6
7,20,6
7,21,6
7,22,6
7,23,6
7,24,6
7,25,12
7,26,12
7,27,12
7,28,12
7,29,12
7,30,12
7,31,12
7,32,12
7,33,12
7,34,12
7,35,12
7,36,12
7,37,12
7,38,12
7,39,12
7,40,12
7,41,12
7,42,12
7,43,12
7,44,12
7,45,12
7,46,12
7,47,13
7,48,13
7,49,13
7,50,13
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,2
8,7,2
8,8,2
8,9,2
8,10,3
8,11,3
8,12,3
8,13,4
8,14,4
8,15,4
8,16,4
8,17,4
8,18,4
8,19,4
8,20,4
8,21,4
8,22,4
8,23,4
8,24,4
8,25,4
8,26,4
8,27,4
8,28,4
8,29,4
8,30,4
8,31,4
8,32,4
8,33,4
8,34,4
8,35,5
8,36,5
8,37,7
8,38,7
8,39,7
8,40,7
8,41,7
8,42,7
8,43,7
8,44,7
8,45,7
8,46,7
8,47,7
8,48,7
8,49,7
8,50,7
9,1,0
9,2,0
9,3,0
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
9,11,1
9,12,1
9,13,1
9,14,1
9,15,1
9,16,1
9,17,1
9,18,1
9,19,1
9,20,1
9,21,1
9,22,2
9,23,2
9,24,2
9,25,2
9,26,2
9,27,2
9,28,2
9,29,2
9,30,3
9,31,3
9,32,3
9,33,3
9,34,3
9,35,3
9,36,3
9,37,3
9,38,4
9,39,4
9,40,4
9,41,4
9,42,4
9,43,4
9,44,4
9,45,4
9,46,4
9,47,4
9,48,4
9,49,4
9,50,4
10,1,0
10,2,0
10,3,0
10,4,1
10,5,2
10,6,2
10,7,2
10,8,2
10,9,2
10,10,3
10,11,3
10,12,3
10,13,3
10,14,3
10,15,3
10,16,3
10,17,3
10,18,3
10,19,3
10,20,3
10,21,4
10,22,4
10,23,4
10,24,4
10,25,4
